ID,BIBID,ABST
148,Kok2018, Dense crowd density estimation is one of the fundamental tasks in crowd analysis. While tremendous progress has been made to understand crowd scenes along with the rise of Convolutional Neural Networks (CNNs) research work on dense crowd density estimation is still an ongoing process. In this paper we propose a novel approach to learn discriminative crowd features from granules that conforms to the outline between crowd and background (i.e. non-crowd) regions for density estimation. It shows that by studying the inner statistics of granules for density estimation this approach is adaptive to arbitrary distribution of crowd (i.e. scene independent). Multiple features fusion is proposed to learn discriminative crowd features from granules. This is to be used as description of the crowd where a direct mapping between the features and crowd density is learned. Extensive experiments on public benchmark datasets demonstrate the effectiveness of our novel approach for scene independent dense crowd density estimation.
149,Vo2018, Recent advancements in systematic analysis of high resolution whole slide images have increase efficiency of diagnosis prognosis and prediction of cancer and important diseases. Due to the enormous sizes and dimensions of whole slide images the analysis requires extensive computing resources which are not commonly available. Images have to be tiled for processing due to computer memory limitations which lead to inaccurate results due to the ignorance of boundary crossing objects. Thus we propose a generic and highly scalable cloud-based image analysis framework for whole slide images. The framework enables parallelized integration of image analysis steps such as segmentation and aggregation of micro-structures in a single pipeline and generation of final objects manageable by databases. The core concept relies on the abstraction of objects in whole slide images as different classes of spatial geometries which in turn can be handled as text based records in MapReduce. The framework applies an overlapping partitioning scheme on images and provides parallelization of tiling and image segmentation based on MapReduce architecture. It further provides robust object normalization graceful handling of boundary objects with an efficient spatial indexing based matching method to generate accurate results. Our experiments on Amazon EMR show that MaReIA is highly scalable generic and extremely cost effective by benchmark tests.
150,Kotseruba2018, In this paper we present a broad overview of the last 40 years of research on cognitive architectures. To date the number of existing architectures has reached several hundred but most of the existing surveys do not reflect this growth and instead focus on a handful of well-established architectures. In this survey we aim to provide a more inclusive and high-level overview of the research on cognitive architectures. Our final set of 84 architectures includes 49 that are still actively developed and borrow from a diverse set of disciplines spanning areas from psychoanalysis to neuroscience. To keep the length of this paper within reasonable limits we discuss only the core cognitive abilities such as perception attention mechanisms action selection memory learning reasoning and metareasoning. In order to assess the breadth of practical applications of cognitive architectures we present information on over 900 practical projects implemented using the cognitive architectures in our list. We use various visualization techniques to highlight the overall trends in the development of the field. In addition to summarizing the current state-of-the-art in the cognitive architecture research this survey describes a variety of methods and ideas that have been tried and their relative success in modeling human cognitive abilities as well as which aspects of cognitive behavior need more research with respect to their mechanistic counterparts and thus can further inform how cognitive science might progress.
151,Kwon2018b, Today as the number of drones has suddenly increased the problems of collision between drones in low altitude flight and Traffic control in drone flight have been highlighted. The collision between drones has a potential danger that can be extended to a very serious accident which is directly linked to the second or third accident rather than the first accident. More detailed and thorough air traffic management is essential in order to minimize the collisions between drones and predict or address the collision before the collision occurs. However the current unmanned traffic management technology is a basic research level and it is urgent to establish the concept. Therefore the purpose of this study is to design and compare the airspace maps for drones which is a core technical element in construction of drone Traffic control system. As a result of this study based on the building height values in the conventional navigation map a drone obstacle map for each airspace area is displayed. Also the airspace classification is analyzed and the design definition and method for the uncontrolled drones are suggested.
152,Vivaldini2018, Eucalyptus represents one of the main sources of raw material in Brazil and each year substantial losses estimated at $400 million occur due to diseases. The active monitoring of eucalyptus crops can help getting accurate information about contaminated areas in order to improve response time. Unmanned aerial vehicles (UAVs) provide low-cost data acquisition and fast scanning of large areas however the success of the data acquisition process depends on an efficient planning of the flight route particularly due to traditionally small autonomy times. This paper proposes a single framework for efficient visual data acquisition using UAVs that combines perception environment representation and route planning. A probabilistic model of the surveyed environment containing diseased eucalyptus soil and healthy trees is incrementally built using images acquired by the vehicle in combination with GPS and inertial information for positioning. This incomplete map is then used in the estimation of the next point to be explored according to a certain objective function aiming to maximize the amount of information collected within a certain traveled distance. Experimental results show that the proposed approach compares favorably to other traditionally used route planning methods.
153,Wang2018g, Most existing person re-identification (re-id) methods are unsuitable for real-world deployment due to two reasons: Unscalability to large population size and Inadaptability over time. In this work we present a unified solution to address both problems. Specifically we propose to construct an identity regression space (IRS) based on embedding different training person identities (classes) and formulate re-id as a regression problem solved by identity regression in the IRS. The IRS approach is characterised by a closed-form solution with high learning efficiency and an inherent incremental learning capability with human-in-the-loop. Extensive experiments on four benchmarking datasets (VIPeR CUHK01 CUHK03 and Market-1501) show that the IRS model not only outperforms state-of-the-art re-id methods but also is more scalable to large re-id population size by rapidly updating model and actively selecting informative samples with reduced human labelling effort.
154,Pitsilis2018, This paper addresses the important problem of discerning hateful content in social media. We propose a detection scheme that is an ensemble of Recurrent Neural Network (RNN) classifiers and it incorporates various features associated with user-related information such as the users’ tendency towards racism or sexism. This data is fed as input to the above classifiers along with the word frequency vectors derived from the textual content. We evaluate our approach on a publicly available corpus of 16k tweets and the results demonstrate its effectiveness in comparison to existing state-of-the-art solutions. More specifically our scheme can successfully distinguish racism and sexism messages from normal text and achieve higher classification quality than current state-of-the-art algorithms.
155,Oztemel2018, Manufacturing industry profoundly impact economic and societal progress. As being a commonly accepted term for research centers and universities the Industry 4.0 initiative has received a splendid attention of the business and research community. Although the idea is not new and was on the agenda of academic research in many years with different perceptions the term “Industry 4.0” is just launched and well accepted to some extend not only in academic life but also in the industrial society as well. While academic research focuses on understanding and defining the concept and trying to develop related systems business models and respective methodologies industry on the other hand focuses its attention on the change of industrial machine suits and intelligent products as well as potential customers on this progress. It is therefore important for the companies to primarily understand the features and content of the Industry 4.0 for potential transformation from machine dominant manufacturing to digital manufacturing. In order to achieve a successful transformation they should clearly review their positions and respective potentials against basic requirements set forward for Industry 4.0 standard. This will allow them to generate a well-defined road map. There has been several approaches and discussions going on along this line a several road maps are already proposed. Some of those are reviewed in this paper. However the literature clearly indicates the lack of respective assessment methodologies. Since the implementation and applications of related theorems and definitions outlined for the 4th industrial revolution is not mature enough for most of the reel life implementations a systematic approach for making respective assessments and evaluations seems to be urgently required for those who are intending to speed this transformation up. It is now main responsibility of the research community to developed technological infrastructure with physical systems management models business models as well as some well-defined Industry 4.0 scenarios in order to make the life for the practitioners easy. It is estimated by the experts that the Industry 4.0 and related progress along this line will have an enormous effect on social life. As outlined in the introduction some social transformation is also expected. It is assumed that the robots will be more dominant in manufacturing implanted technologies cooperating and coordinating machines self-decision-making systems autonom problem solvers learning machines 3D printing etc. will dominate the production process. Wearable internet big data analysis sensor based life smart city implementations or similar applications will be the main concern of the community. This social transformation will naturally trigger the manufacturing society to improve their manufacturing suits to cope with the customer requirements and sustain competitive advantage. A summary of the potential progress along this line is reviewed in introduction of the paper. It is so obvious that the future manufacturing systems will have a different vision composed of products intelligence communications and information network. This will bring about new business models to be dominant in industrial life. Another important issue to take into account is that the time span of this so-called revolution will be so short triggering a continues transformation process to yield some new industrial areas to emerge. This clearly puts a big pressure on manufacturers to learn understand design and implement the transformation process. Since the main motivation for finding the best way to follow this transformation a comprehensive literature review will generate a remarkable support. This paper presents such a review for highlighting the progress and aims to help improve the awareness on the best experiences. It is intended to provide a clear idea for those wishing to generate a road map for digitizing the respective manufacturing suits. By presenting this review it is also intended to provide a hands-on library of Industry 4.0 to both academics as well as industrial practitioners. The top 100 headings abstracts and key words (i.e. a total of 619 publications of any kind) for each search term were independently analyzed in order to ensure the reliability of the review process. Note that this exhaustive literature review provides a concrete definition of Industry 4.0 and defines its six design principles such as interoperability virtualization local real-time talent service orientation and modularity. It seems that these principles have taken the attention of the scientists to carry out more variety of research on the subject and to develop implementable and appropriate scenarios. A comprehensive taxonomy of Industry 4.0 can also be developed through analyzing the results of this review.
156,Caster2018, Introduction and ObjectiveSocial media has been proposed as a possibly useful data source for pharmacovigilance signal detection. This study primarily aimed to evaluate the performance of established statistical signal detection algorithms in Twitter/Facebook for a broad range of drugs and adverse events.MethodsPerformance was assessed using a reference set by Harpaz et al. consisting of 62 US Food and Drug Administration labelling changes and an internal WEB-RADR reference set consisting of 200 validated safety signals. In total 75 drugs were studied. Twitter/Facebook posts were retrieved for the period March 2012 to March 2015 and drugs/events were extracted from the posts. We retrieved 4.3 million and 2.0 million posts for the WEB-RADR and Harpaz drugs respectively. Individual case reports were extracted from VigiBase for the same period. Disproportionality algorithms based on the Information Component or the Proportional Reporting Ratio and crude post/report counting were applied in Twitter/Facebook and VigiBase. Receiver operating characteristic curves were generated and the relative timing of alerting was analysed.ResultsAcross all algorithms the area under the receiver operating characteristic curve for Twitter/Facebook varied between 0.47 and 0.53 for the WEB-RADR reference set and between 0.48 and 0.53 for the Harpaz reference set. For VigiBase the ranges were 0.64 0.69 and 0.55 0.67 respectively. In Twitter/Facebook at best 31 (16%) and four (6%) positive controls were detected prior to their index dates in the WEB-RADR and Harpaz references respectively. In VigiBase the corresponding numbers were 66 (33%) and 17 (27%).ConclusionsOur results clearly suggest that broad-ranging statistical signal detection in Twitter and Facebook using currently available methods for adverse event recognition performs poorly and cannot be recommended at the expense of other pharmacovigilance activities.
157,Joshi2018, Machine vision inspection systems are often used for part classification applications to confirm that correct parts are available in manufacturing or assembly operations. Support vector machines (SVMs) and artificial neural networks (ANNs) are popular choices for classifiers. These supervised classifiers perform well when developed for specific applications and trained with known class images. Their drawback is that they cannot be easily applied to different applications without extensive retuning. Moreover for the same application they do not perform well if there are unknown class images. This paper proposes a novel solution to the above limitations of SVMs and ANNs with the development of a hybrid approach that combines supervised and semi-supervised layers. To illustrate its performance the system is applied to three different small part identification and sorting applications: (1) solid plastic gears (2) clear plastic wire connectors and (3) metallic Indian coins. The ability of the system to work with different applications with minimal tuning and user inputs illustrates its flexibility. The robustness of the system is demonstrated by its ability to reject unknown class images. Four hybrid classification methods were developed and tested: (1) SSVM USVM (2) USVM SSVM (3) USVM SANN and (4) SANN USVM. It was found that SANN USVM gave the best results with an accuracy of over 95% for all three applications. A software package known as FlexMVS for flexible machine vision system was written to illustrate the hybrid approach that enabled easy execution of the image conditioning feature extraction and classification steps. The image library and database used in this study is available at http://my.me.queensu.ca/People/Surgenor/Laboratory/Database.html.
158,Wang2018h, Ship capsizes in the extreme weather condition are difficult to predict even though they cause a great number of casualties. Numerical methods have been developed to analyze the capsize phenomena and to predict the possible capsizes. The visual simulation can augment the physical evaluation of ship motion and validation of the experimental results. However most of the existing visual simulations merely focus on the normal ship motion in general sea state and have less fascinating visual effect (VFX) compared with those in movie industry. In this paper we propose a visual simulation method to generate stormy wave surface to simulate wave properties such as splash and wake using particle simulation to render the wave and its relevant stormy features and finally to compose the visual effects together. Wave simulation is based on the modified Tessendorf grid method of ocean wave and SPH particles are adopted to simulate the wave properties. Lastly the integrated rendering is to produce the scene of ship motion in storm condition.
159,He2018a, In this editorial we first summarize the 2nd International Workshop on Semantics-Powered Data Analytics (SEPDA 2017) held on November 13 2017 in Kansas City Missouri U.S.A. and then briefly introduce 13 research articles included in this supplement issue covering topics such as Semantic Integration Deep Learning Knowledge Base Construction and Natural Language Processing.
160,Fan2018a, BackgroundDespite widespread use the safety of dietary supplements is open to doubt due to the fact that they can interact with prescribed medications leading to dangerous clinical outcomes. Electronic health records (EHRs) provide a potential way for active pharmacovigilance on dietary supplements since a fair amount of dietary supplement information especially those on use status can be found in clinical notes. Extracting such information is extremely significant for subsequent supplement safety research.MethodsIn this study we collected 2500 sentences for 25 commonly used dietary supplements and annotated into four classes: Continuing (C) Discontinued (D) Started (S) and Unclassified (U). Both rule-based and machine learning-based classifiers were developed on the same training set and evaluated using the hold-out test set. The performances of the two classifiers were also compared.ResultsThe rule-based classifier achieved F-measure of 0.90 0.85 0.90 and 0.86 in C D S and U status respectively. The optimal machine learning-based classifier (Maximum Entropy) achieved F-measure of 0.90 0.92 0.91 and 0.88 in C D S and U status respectively. The comparison result shows that the machine learning-based classifier has a better performance which is more efficient and scalable especially when the sample size doubles.ConclusionsMachine learning-based classifier outperforms rule-based classifier in categorization of the use status of dietary supplements in clinical notes. Future work includes applying deep learning methods and developing a hybrid system to approach use status classification task.
161,Li2018e, BackgroundExtracting relationships between chemicals and diseases from unstructured literature have attracted plenty of attention since the relationships are very useful for a large number of biomedical applications such as drug repositioning and pharmacovigilance. A number of machine learning methods have been proposed for chemical-induced disease (CID) extraction due to some publicly available annotated corpora. Most of them suffer from time-consuming feature engineering except deep learning methods. In this paper we propose a novel document-level deep learning method called recurrent piecewise convolutional neural networks (RPCNN) for CID extraction.ResultsExperimental results on a benchmark dataset the CDR (Chemical-induced Disease Relation) dataset of the BioCreative V challenge for CID extraction show that the highest precision recall and F-score of our RPCNN-based CID extraction system are 65.24 77.21 and 70.77% which is competitive with other state-of-the-art systems.ConclusionsA novel deep learning method is proposed for document-level CID extraction where domain knowledge piecewise strategy attention mechanism and multi-instance learning are combined together. The effectiveness of the method is proved by experiments conducted on a benchmark dataset.
162,Chen2018a, Thermal imaging is a nondestructive testing method for monitoring internal material changes that are indicated by changes in an object’s surface temperature. In this study field observation using thermographs was applied to monitor and analyze the breach process of large-scale earth dams. The earth dam test site was Landao Creek in Nantou County Taiwan. Four field tests were performed to monitor and analyze a single earth dam and two successive earth dams. Ponding first occurred at the lowland of the riverbed upstream and base seepage occurred at the base of the dam downstream; overtopping failure soon followed. Earth-dam failure mode is affected by the topographic characteristics of the riverbed; specifically lowland areas are prone to ponding upstream which causes piping and seepage downstream as well as subsequent breaches. Ponding and piping cause water seepage and soil wetting which are reflected in lower surface temperatures recorded on thermographs. Thermographs can monitor changes in surface temperature to evaluate the potential failure modes of dams. Dam surfaces with large temperature variations may be potential failure areas. If confirmed this fact may prove useful for failure-mode prediction. This paper proposes a monitoring index to reflect the temperature changes in a given period and this study verified it empirically.
163,Pektas2018, Compromised computer systems on the Internet namely botnets receive commands and share information with their central malicious systems while executing frequent and common network activities. Former botnet detection methods such as blacklists and botnet’s signature matching cannot timely and reliably discover evolving botnet variants. Analysis of botnet network communication flows can be used to discover behavior of botnets toward detection. A rich dataset constituted by both botnet and normal network traffic flow summaries can be used for training and testing purposes. Furthermore neural networks along emerging parallelization computing tools and processors may improve classification statistical metric results in an efficient manner. A neural network built by a higher number of layers and its architecture enhances classification accuracy. In this paper we present a combination of convolutional and recurrent neural network to identify botnets. To validate the effectiveness of the proposed method we test and benchmark the proposed method with two publicly available datasets which are CTU-13 and ISOT involving both botnet and normal data traffic. We evaluate statistical metric results by tuning the neural network architecture and compare the results with respect to baseline classifiers. Our experiment results show that the presented deep network learning-based botnet detection method is reached at 99.3% level in accuracy and 99.1% in F-measure respectively.
164,Licorish2018, Technology is being increasingly integrated into teaching environments in view of enhancing students’ engagement and motivation. In particular game-based student response systems have been found to foster students’ engagement enhance classroom dynamics and improve overall students’ learning experience. This article presents outcomes of research that examined students’ experience using a game-based student response system Kahoot! in an Information Systems Strategy and Governance course at a research-intensive teaching university in New Zealand. We conducted semi-structured interviews with students to learn about the extent to which Kahoot! influence classroom dynamics motivation and students’ learning process. Key findings revealed that Kahoot! enriched the quality of student learning in the classroom with the highest influence reported on classroom dynamics engagement motivation and improved learning experience. Our findings also suggest that the use of educational games in the classroom is likely to minimise distractions thereby improving the quality of teaching and learning beyond what is provided in conventional classrooms. Other factors that contributed to students’ enhanced learning included the creation and integration of appropriate content in Kahoot! providing students with timely feedback and game-play (gamification) strategies.
165,Guo2018a, Drowsiness and fatigue of the drivers are amongst the significant causes of the car accidents. Every year the number of deaths and fatalities are tremendously increasing due to multifaceted issues and henceforth requires an intelligent processing system for accident avoidance. In relevant with this an effective driver drowsiness detection system is proposed. The main challenges are robustness of the algorithm towards variation of the human face and real-time processing capability. The first challenge pertaining to the facial variation has been handled well using conventional image processing and hand-craft features of computer vision algorithms. Yet variations such as facial expression lighting condition intra-class variation and pose variation are additional issues that conventional method failed to address. Deep learning is an alternative solution which provides a better performance by learning features automatically. Thus this paper proposed a new concept for handling the real-time driver drowsiness detection using the hybrid of convolutional neural network (CNN) and long short-term memory (LSTM). The performance of the system has been tested using the public drowsy driver dataset from ACCV 2016 competition. The results show that it can outperform the former schemes in the literature.
166,Huang2018c, The overarching goal of this work is to efficiently enable end-users to correctly anticipate a robot’s behavior in novel situations. And since a robot’s behavior is often a direct result of its underlying objective function our insight is that end-users need to have an accurate mental model of this objective function in order to understand and predict what the robot will do. While people naturally develop such a mental model over time through observing the robot act this familiarization process may be lengthy. Our approach reduces this time by having the robot model how people infer objectives from observed behavior in order to then show those behaviors that are maximally informative. We introduce two factors to define candidate models of human inference and show that certain models indeed produce example robot behaviors that better enable users to anticipate what it will do in novel situations. Our results also reveal that choosing the appropriate model is key and suggest that our candidate models do not fully capture how humans extrapolate from examples of robot behavior. We leverage these findings to propose a stronger model of human learning in this setting and conclude by analyzing the impact of different ways in which the assumed model of human learning may be incorrect.
167,Hu2018a, With the explosive growth of personal photos an effective classification tool is becoming an urgent need to organize our progressive image collections. Facing the dynamically growing collections we present a new method to categorize images effectively by integrating image clustering incremental updating and user feedback together in an online framework. Considering the user burden and the user-specific preference during image classification we propose several strategies to learn a customized classification model progressively for each user. Firstly we use a multi-view learning method to learn the preferred classification perspective of the user. Secondly we cluster similar images into groups according to user’s preference so that images in a group can be categorized simultaneously with high efficiency. Thirdly we propose a multi-centroid nearest class mean classifier to online learn the user’s preferred category granularity and use it to classify the image groups. Unlike offline systems where pre-labeling and batch training often take hours or even days to perform our approach is fully online. It can learn the classification model and classify newly acquired images alternately in no time. The sufficient experimental results and a user study demonstrate the effectiveness of the proposed method.
168,Wang2018i, To maintain national socio-economic development and maritime rights and interests it is necessary to obtain the space location information of various ships. Therefore it is important to detect the locations of ships accurately and rapidly. At present ship detection is mainly carried out by combining satellite remote sensing imaging with constant false alarm rate (CFAR) detection. However with the rapid development of satellite remote sensing technology remote sensing data have gradually begun to show the characteristics of “big data”; additionally the accuracy and speed of ship detection can be improved by analysing big data such as by deep learning. Thus a ship detection algorithm that combines CFAR and CNN is proposed based on the CFAR global detection algorithm and image recognition with the CNN model. Compared with the multi-level CFAR algorithm that is based on multithreading the algorithm in this paper is more suitable for application to ship detection systems.
169,Garcia-Zapirain2018, A 3D convolution neural network (CNN) of deep learning architecture is supplied with essential visual features to accurately classify and segment granulation necrotic eschar and slough tissues in pressure ulcer color images. After finding a region of interest (ROI) the features are extracted from both the original and convolved with a pre-selected Gaussian kernel 3D HSI images combined with first-order models of current and prior visual appearance. The models approximate empirical marginal probability distributions of voxel-wise signals with linear combinations of discrete Gaussians (LCDG). The framework was trained and tested on 193 color pressure ulcer images. The classification accuracy and robustness were evaluated using the Dice similarity coefficient (DSC) the percentage area distance (PAD) and the area under the ROC curve (AUC). The obtained preliminary DSC of 92% PAD of 13% and AUC of 95% are promising.
170,XXX,A 3D convolution neural network (CNN) of deep learning architecture is supplied with essential visual features to accurately classify and segment granulation necrotic eschar and slough tissues in pressure ulcer color images. After finding a region of interest (ROI) the features are extracted from both the original and convolved with a pre-selected Gaussian kernel 3D HSI images combined with first-order models of current and prior visual appearance. The models approximate empirical marginal probability distributions of voxel-wise signals with linear combinations of discrete Gaussians (LCDG). The framework was trained and tested on 193 color pressure ulcer images. The classification accuracy and robustness were evaluated using the Dice similarity coefficient (DSC) the percentage area distance (PAD) and the area under the ROC curve (AUC). The obtained preliminary DSC of 92% PAD of 13% and AUC of 95% are promising.
171,Govindasamy2018, This article proposes three software reliability models based on a hybrid approach combining NHPP models Weibull model and exponential model. The software failure is first categorised into three categories namely pure software failures hardware-induced software failures and user-induced software failures. Based on the failure behaviour NHPP models were adapted for pure software failures Weibull model for hardware-induced failures and exponential model for user-induced software failures. The failure intensity function mean value function and reliability function were determined. The proposed models are validated using big data analysis. From the data collected during the testing phase the optimal values of parameters were estimated using maximum likelihood estimation and genetic algorithm. The expected number of failures and the cumulative number of failures were calculated and comparison was made between the observed values to show the performance of the proposed models. A comparison criterion was also proposed to confirm the estimation accuracy. Finally a t test was conducted to test the significance of the difference between the observed and estimated values. Experimental results confirm the better estimation accuracy of the proposed models.
172,Floyd2018, Learning by observation agents learn to perform a behaviour by watching an expert perform that behaviour. The ability of the agents to learn correctly is therefore related to the quality and coverage of the observations. This article presents two novel approaches for observation acquisition mixed-initiative observation acquisition and delayed observation acquisition that allow learning agents to identify problems they are having difficulty solving and ask the expert for assistance solving them. The observation approaches are presented in the context of a case-based learning by observation agent and empirically compared to traditional passive observation in the domain of Tetris. Our results show that not only do the mixed-initiative and delayed observation acquisition approaches result in observations that cannot be obtained in a passive manner but they also improve the learning performance of an agent.
173,EhteshamiBejnordi2018, The breast stromal microenvironment is a pivotal factor in breast cancer development growth and metastases. Although pathologists often detect morphologic changes in stroma by light microscopy visual classification of such changes is subjective and non-quantitative limiting its diagnostic utility. To gain insights into stromal changes associated with breast cancer we applied automated machine learning techniques to digital images of 2387 hematoxylin and eosin stained tissue sections of benign and malignant image-guided breast biopsies performed to investigate mammographic abnormalities among 882 patients ages 40 65 years that were enrolled in the Breast Radiology Evaluation and Study of Tissues (BREAST) Stamp Project. Using deep convolutional neural networks we trained an algorithm to discriminate between stroma surrounding invasive cancer and stroma from benign biopsies. In test sets (928 whole-slide images from 330 patients) this algorithm could distinguish biopsies diagnosed as invasive cancer from benign biopsies solely based on the stromal characteristics (area under the receiver operator characteristics curve 0.962). Furthermore, without being trained specifically using ductal carcinoma in situ as an outcome, the algorithm detected tumor-associated stroma in greater amounts and at larger distances from grade 3 versus grade 1 ductal carcinoma in situ. Collectively, these results suggest that algorithms based on deep convolutional neural networks that evaluate only stroma may prove useful to classify breast biopsies and aid in understanding and evaluating the biology of breast lesions.
174,Suarez-Paniagua2018, BackgroundDeep Neural Networks (DNN) in particular Convolutional Neural Networks (CNN) has recently achieved state-of-art results for the task of Drug-Drug Interaction (DDI) extraction. Most CNN architectures incorporate a pooling layer to reduce the dimensionality of the convolution layer output preserving relevant features and removing irrelevant details. All the previous CNN based systems for DDI extraction used max-pooling layers.ResultsIn this paper we evaluate the performance of various pooling methods (in particular max-pooling average-pooling and attentive pooling) as well as their combination for the task of DDI extraction. Our experiments show that max-pooling exhibits a higher performance in F1-score (64.56%) than attentive pooling (59.92%) and than average-pooling (58.35%).ConclusionsMax-pooling outperforms the others alternatives because is the only one which is invariant to the special pad tokens that are appending to the shorter sentences known as padding. Actually the combination of max-pooling and attentive pooling does not improve the performance as compared with the single max-pooling technique.
175,Gupta2018, BackgroundSocial media is a useful platform to share health-related information due to its vast reach. This makes it a good candidate for public-health monitoring tasks specifically for pharmacovigilance. We study the problem of extraction of Adverse-Drug-Reaction (ADR) mentions from social media particularly from Twitter. Medical information extraction from social media is challenging mainly due to short and highly informal nature of text as compared to more technical and formal medical reports.MethodsCurrent methods in ADR mention extraction rely on supervised learning methods which suffer from labeled data scarcity problem. The state-of-the-art method uses deep neural networks specifically a class of Recurrent Neural Network (RNN) which is Long-Short-Term-Memory network (LSTM). Deep neural networks due to their large number of free parameters rely heavily on large annotated corpora for learning the end task. But in the real-world it is hard to get large labeled data mainly due to the heavy cost associated with the manual annotation.ResultsTo this end we propose a novel semi-supervised learning based RNN model which can leverage unlabeled data also present in abundance on social media. Through experiments we demonstrate the effectiveness of our method achieving state-of-the-art performance in ADR mention extraction.ConclusionIn this study we tackle the problem of labeled data scarcity for Adverse Drug Reaction mention extraction from social media and propose a novel semi-supervised learning based method which can leverage large unlabeled corpus available in abundance on the web. Through empirical study we demonstrate that our proposed method outperforms fully supervised learning based baseline which relies on large manually annotated corpus for a good performance.
176,Jiang2018, BackgroundAs Twitter has become an active data source for health surveillance research it is important that efficient and effective methods are developed to identify tweets related to personal health experience. Conventional classification algorithms rely on features engineered by human domain experts and engineering such features is a challenging task and requires much human intelligence. The resultant features may not be optimal for the classification problem and can make it challenging for conventional classifiers to correctly predict personal experience tweets (PETs) due to the various ways to express and/or describe personal experience in tweets. In this study we developed a method that combines word embedding and long short-term memory (LSTM) model without the need to engineer any specific features. Through word embedding tweet texts were represented as dense vectors which in turn were fed to the LSTM neural network as sequences.ResultsStatistical analyses of the results of 10-fold cross-validations of our method and conventional methods indicate that there exist significant differences (p<0.01) in performance measures of accuracy precision recall F1-score and ROC/AUC demonstrating that our approach outperforms the conventional methods in identifying PETs.ConclusionWe presented an efficient and effective method of identifying health-related personal experience tweets by combining word embedding and an LSTM neural network. It is conceivable that our method can help accelerate and scale up analyzing textual data of social media for health surveillance purposes because of no need for the laborious and costly process of engineering features.
177,Elton2018, We present a proof of concept that machine learning techniques can be used to predict the properties of CNOHF energetic molecules from their molecular structures. We focus on a small but diverse dataset consisting of 109 molecular structures spread across ten compound classes. Up until now candidate molecules for energetic materials have been screened using predictions from expensive quantum simulations and thermochemical codes. We present a comprehensive comparison of machine learning models and several molecular featurization methods - sum over bonds custom descriptors Coulomb matrices Bag of Bonds and fingerprints. The best featurization was sum over bonds (bond counting) and the best model was kernel ridge regression. Despite having a small data set we obtain acceptable errors and Pearson correlations for the prediction of detonation pressure detonation velocity explosive energy heat of formation density and other properties out of sample. By including another dataset with  300 additional molecules in our training we show how the error can be pushed lower although the convergence with number of molecules is slow. Our work paves the way for future applications of machine learning in this domain including automated lead generation and interpreting machine learning models to obtain novel chemical insights.
178,Zou2018, On account of transportation management a predictive model of the traffic flow is built up that would precisely predict the traffic flow reduce longer travel delays. In prediction model of traffic flow based on traditional neural network the parameters of prediction model need to be tuned through iterative processing and these methods easily get stuck in local minimum. The paper presents a novel prediction model based on back propagation bidirectional extreme learning machine (BP-BELM). Parameters of BP-BELM are not tuned by experience. Compared with back propagation neural network radial basis function support vector machine and other improved incremental ELM the combined simulations and comparisons demonstrate that BP-BELM is used in predicting the traffic flow for its suitability and effectivity.
179,Liu2018c, We present a numerical analysis on injection-induced crack propagation and coalescence in brittle rock. The DEM network coupling model in PFC is modified to capture the evolution of fracture geometry. An improved fluid flow model for fractured porous media is proposed and coupled with a bond-based DEM model to simulate the interactions among cracks induced by injecting fluid in two nearby flaws at identical injection rates. The material parameters are calibrated based on the macro-properties of Lac du Bonnet granite and KGD solution. A grain-based model which generates larger grains from assembles of particles bonded together is calibrated to identify the microscopic mechanical and hydraulic parameters of Lac du Bonnet granite such that the DEM model yields a ratio between the compressive and tensile strength consistent with experiments. The simulations of fluid injection reveal that the initial flaw direction plays a crucial role in crack interaction and coalescence pattern. When two initial flaws are aligned cracks generally propagate faster. Some geometrical measures from graph theory are used to analyze the geometry and connectivity of the crack network. The results reveal that initial flaws in the same direction may lead to a well-connected crack network with higher global efficiency.
180,Zhang2018c, Barely acceptable block I/O performance prevents virtualization from being widely used in the High- Performance Computing field. Although the virtio paravirtual framework brings great I/O performance improvement there is a sharp performance degradation when accessing high-performance NAND-flash-based devices in the virtual machine due to their data parallel design. The primary cause of this fact is the deficiency of block I/O parallelism in hypervisor such as KVM and Xen. In this paper we propose a novel design of block I/O layer for virtualization named VBMq. VBMq is based on virtio paravirtual I/O model aiming to solve the block I/O parallelism issue in virtualization. It uses multiple dedicated I/O threads to handle I/O requests in parallel. In the meanwhile we use polling mechanism to alleviate overheads caused by the frequent context switches of the VM’s notification to and from its hypervisor. Each dedicated I/O thread is assigned to a non-overlapping core to improve performance by avoiding unnecessary scheduling. In addition we configure CPU affinity to optimize I/O completion for each request. The CPU affinity setting is very helpful to reduce CPU cache miss rate and increase CPU efficiency. The prototype system is based on Linux 4.1 kernel and QEMU 2.3.1. Our measurements show that the proposed method scales graciously in the multi-core environment and provides performance which is 39.6x better than the baseline Received September 26 2016; accepted June 23 2017 E-mail: diming.zhang@gmail.com at most and approaches bare-metal performance.
